,Tournament,Tournament_ID
401,Brisbane International,4
402,Brisbane International,4
403,Brisbane International,4
404,Brisbane International,4
405,Brisbane International,4
406,Brisbane International,4
407,Brisbane International,4
408,Brisbane International,4
409,Brisbane International,4
410,Brisbane International,4
411,Brisbane International,4
412,Brisbane International,4
413,Brisbane International,4
414,Brisbane International,4
415,Brisbane International,4
416,Brisbane International,4
417,Brisbane International,4
418,Brisbane International,4
419,Brisbane International,4
420,Brisbane International,4
421,Brisbane International,4
422,Brisbane International,4
423,Brisbane International,4
424,Brisbane International,4
425,Brisbane International,4
426,Brisbane International,4
427,Brisbane International,4
428,Qatar Exxon Mobil Open,5
429,Qatar Exxon Mobil Open,5
430,Qatar Exxon Mobil Open,5
431,Qatar Exxon Mobil Open,5
432,Qatar Exxon Mobil Open,5
433,Qatar Exxon Mobil Open,5
434,Qatar Exxon Mobil Open,5
435,Qatar Exxon Mobil Open,5
436,Qatar Exxon Mobil Open,5
437,Qatar Exxon Mobil Open,5
438,Qatar Exxon Mobil Open,5
439,Qatar Exxon Mobil Open,5
440,Qatar Exxon Mobil Open,5
441,Qatar Exxon Mobil Open,5
442,Qatar Exxon Mobil Open,5
443,Qatar Exxon Mobil Open,5
444,Qatar Exxon Mobil Open,5
445,Qatar Exxon Mobil Open,5
446,Qatar Exxon Mobil Open,5
447,Qatar Exxon Mobil Open,5
448,Qatar Exxon Mobil Open,5
449,Qatar Exxon Mobil Open,5
450,Qatar Exxon Mobil Open,5
451,Qatar Exxon Mobil Open,5
452,Qatar Exxon Mobil Open,5
453,Qatar Exxon Mobil Open,5
454,Qatar Exxon Mobil Open,5
455,Antalya Open,6
456,Antalya Open,6
457,Antalya Open,6
458,Antalya Open,6
459,Antalya Open,6
460,Antalya Open,6
461,Antalya Open,6
462,Antalya Open,6
463,Antalya Open,6
464,Antalya Open,6
465,Antalya Open,6
466,Antalya Open,6
467,Antalya Open,6
468,Antalya Open,6
469,Antalya Open,6
470,Antalya Open,6
471,Antalya Open,6
472,Antalya Open,6
473,Antalya Open,6
474,Antalya Open,6
475,Antalya Open,6
476,Antalya Open,6
477,Antalya Open,6
478,Antalya Open,6
479,Antalya Open,6
480,Antalya Open,6
481,Antalya Open,6
482,Antalya Open,6
483,Antalya Open,6
484,Antalya Open,6
485,Antalya Open,6
486,Adelaide International 1,7
487,Adelaide International 1,7
488,Adelaide International 1,7
489,Adelaide International 1,7
490,Adelaide International 1,7
491,Adelaide International 1,7
492,Adelaide International 1,7
493,Adelaide International 1,7
494,Adelaide International 1,7
495,Adelaide International 1,7
496,Adelaide International 1,7
497,Adelaide International 1,7
498,Adelaide International 1,7
499,Adelaide International 1,7
500,Adelaide International 1,7
501,Adelaide International 1,7
502,Adelaide International 1,7
503,Adelaide International 1,7
504,Adelaide International 1,7
505,Adelaide International 1,7
506,Adelaide International 1,7
507,Adelaide International 1,7
508,Adelaide International 1,7
509,Adelaide International 1,7
510,Adelaide International 1,7
511,Adelaide International 1,7
512,Adelaide International 1,7
513,Adelaide International 1,7
514,Adelaide International 1,7
515,Adelaide International 1,7
516,Adelaide International 1,7
517,Adelaide International 1,7
518,Adelaide International 1,7
519,Adelaide International 1,7
520,Adelaide International 1,7
521,Adelaide International 1,7
522,Adelaide International 1,7
523,Adelaide International 1,7
524,Adelaide International 1,7
525,Adelaide International 1,7
526,Adelaide International 1,7
527,Adelaide International 1,7
528,Adelaide International 1,7
529,Adelaide International 1,7
530,Adelaide International 1,7
531,Adelaide International 1,7
532,Adelaide International 1,7
533,Adelaide International 1,7
534,Adelaide International 1,7
535,Adelaide International 1,7
536,Adelaide International 1,7
537,Adelaide International 1,7
538,Adelaide International 1,7
539,Adelaide International 1,7
540,Adelaide International 1,7
541,Adelaide International 1,7
542,Adelaide International 1,7
543,Adelaide International 1,7
544,Brisbane International,4
545,Brisbane International,4
546,Brisbane International,4
547,Brisbane International,4
548,Brisbane International,4
549,Brisbane International,4
550,Brisbane International,4
551,Brisbane International,4
552,Brisbane International,4
553,Brisbane International,4
554,Brisbane International,4
555,Brisbane International,4
556,Brisbane International,4
557,Brisbane International,4
558,Brisbane International,4
559,Brisbane International,4
560,Brisbane International,4
561,Brisbane International,4
562,Brisbane International,4
563,Brisbane International,4
564,Brisbane International,4
565,Brisbane International,4
566,Brisbane International,4
567,Brisbane International,4
568,Brisbane International,4
569,Brisbane International,4
570,Brisbane International,4
571,Brisbane International,4
572,Brisbane International,4
573,Brisbane International,4
574,Brisbane International,4
575,TATA Open,8
576,TATA Open,8
577,TATA Open,8
578,TATA Open,8
579,TATA Open,8
580,TATA Open,8
581,TATA Open,8
582,TATA Open,8
583,TATA Open,8
584,TATA Open,8
585,TATA Open,8
586,TATA Open,8
587,TATA Open,8
588,TATA Open,8
589,TATA Open,8
590,TATA Open,8
591,TATA Open,8
592,TATA Open,8
593,TATA Open,8
594,TATA Open,8
595,TATA Open,8
596,TATA Open,8
597,TATA Open,8
598,TATA Open,8
599,TATA Open,8
600,TATA Open,8
601,TATA Open,8
602,TATA Open,8
603,TATA Open,8
604,TATA Open,8
605,TATA Open,8
606,TATA Open,8
607,TATA Open,8
608,TATA Open,8
609,TATA Open,8
610,TATA Open,8
611,TATA Open,8
612,TATA Open,8
613,TATA Open,8
614,TATA Open,8
615,TATA Open,8
616,TATA Open,8
617,TATA Open,8
618,TATA Open,8
619,TATA Open,8
620,TATA Open,8
621,TATA Open,8
622,TATA Open,8
623,TATA Open,8
624,TATA Open,8
625,TATA Open,8
626,TATA Open,8
627,TATA Open,8
628,TATA Open,8
629,TATA Open,8
630,TATA Open,8
631,TATA Open,8
632,Chennai Open,9
633,Chennai Open,9
634,Chennai Open,9
635,Chennai Open,9
636,Chennai Open,9
637,Chennai Open,9
638,Chennai Open,9
639,Chennai Open,9
640,Chennai Open,9
641,Chennai Open,9
642,Chennai Open,9
643,Chennai Open,9
644,Chennai Open,9
645,Chennai Open,9
646,Chennai Open,9
647,Chennai Open,9
648,Chennai Open,9
649,Chennai Open,9
650,Chennai Open,9
651,Chennai Open,9
652,Chennai Open,9
653,Chennai Open,9
654,Chennai Open,9
655,Chennai Open,9
656,Chennai Open,9
657,Chennai Open,9
658,Chennai Open,9
